category,title,creator,publication_year,description
album,Can't Buy a Thrill,Steely Dan,1972, It's great
album,Countdown to Ecstasy,Steely Dan,1973, so cool
album,Pretzel Logic,Steely Dan,1974, Awesome
album,Katy Lied,Steely Dan,1975, 5 stars
album,The Royal Scam,Steely Dan,1976, 2 thumbs up
album,Aja,Steely Dan,1977, great
album,Gaucho,Steely Dan,1980,
album,Silence Yourself,Savages,2013,
album,Adore Life,Savages,2016,
album,NVM,Tacocat,2014,
album,Lost Time,Tacocat,2016,
album,No Regrets,Chastity Belt,2013,
album,Time to Go Home,Chastity Belt,2015,
album,Sleater-Kinney,Sleater-Kinney,1995,
album,Call the Doctor,Sleater-Kinney,1996,
album,Dig Me Out,Sleater-Kinney,1997,
album,The Hot Rock,Sleater-Kinney,1999,
album,All Hands on the Bad One,Sleater-Kinney,2000,
album,One Beat,Sleater-Kinney,2002,
album,The Woods,Sleater-Kinney,2005,
album,No Cities to Love,Sleater-Kinney,2015,
book,Hidden Figures,Margot Lee Shetterly,2016,Good book that came before the movie
book,Practical Object-Oriented Design in Ruby,Sandi Metz,2012,Good programming book
book,Kindred,Octavia E. Butler,1979,Good sci-fi book
book,Parable of the Sower,Octavia E. Butler,1993,
book,A Wizard of Earthsea,Ursula K. Leguin,1968,
movie, Harry Potter and the Sorcerer's Stone,  John Williams, 2001, Rescued from the outrageous neglect of his aunt and uncle a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.
movie, Harry Potter and the Chamber of Secrets,  John Williams, 2002, Harry ignores warnings not to return to Hogwarts only to find the school plagued by a series of mysterious attacks and a strange voice haunting him
movie, Harry Potter and the Prisoner of Azkaban,  John Williams, 2004, It's Harry's third year at Hogwarts not only does he have a new Defense Against the Dark Arts teacher but there is also trouble brewing
movie,  Harry Potter and the Goblet of Fire,  John Williams, 2005, A young wizard finds himself competing in a hazardous tournament between rival schools of magic but he is distracted by recurring nightmares
movie,  Harry Potter and the Order of the Phoenix,  John Williams, 2007, With their warning about Lord Voldemort's return scoffed at Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts
